epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1499.59,0.97397,0.95436,0.9975,0.14373,0.00333257,0.00333257,0.00333257
2,2995.13,0.22477,0.9794,0.99954,0.06326,0.00653392,0.00653392,0.00653392
3,4493.94,0.28271,0.98156,1,0.05805,0.00960327,0.00960327,0.00960327
4,5997.9,0.2421,0.98845,0.99983,0.03445,0.009406,0.009406,0.009406
5,7516.95,0.14725,0.99277,0.99994,0.0211,0.009208,0.009208,0.009208
6,9039.81,0.12055,0.99454,1,0.01616,0.00901,0.00901,0.00901
7,10565.7,0.09942,0.99602,1,0.01352,0.008812,0.008812,0.008812
8,12091.4,0.09573,0.99613,0.99994,0.01168,0.008614,0.008614,0.008614
9,13621.2,0.08797,0.99624,1,0.01032,0.008416,0.008416,0.008416
10,15141.3,0.0867,0.99636,1,0.00959,0.008218,0.008218,0.008218
11,16659.9,0.07686,0.99698,1,0.00892,0.00802,0.00802,0.00802
12,18182.5,0.0751,0.99721,1,0.00818,0.007822,0.007822,0.007822
13,19710.6,0.0755,0.99738,1,0.00772,0.007624,0.007624,0.007624
14,21248.4,0.06885,0.9975,1,0.00736,0.007426,0.007426,0.007426
15,22796.2,0.06735,0.99755,1,0.00731,0.007228,0.007228,0.007228
16,24366,0.06837,0.99761,1,0.00725,0.00703,0.00703,0.00703
17,25913.7,0.05922,0.99789,1,0.00704,0.006832,0.006832,0.006832
18,27459.5,0.06236,0.99778,1,0.00699,0.006634,0.006634,0.006634
19,28992,0.05863,0.99795,1,0.00691,0.006436,0.006436,0.006436
20,30520.9,0.05248,0.99807,1,0.00675,0.006238,0.006238,0.006238
21,32055,0.05475,0.99801,1,0.00673,0.00604,0.00604,0.00604
22,33584.9,0.04956,0.99818,1,0.00671,0.005842,0.005842,0.005842
23,35115.6,0.04878,0.99812,1,0.00673,0.005644,0.005644,0.005644
24,36650.7,0.04465,0.99807,1,0.00673,0.005446,0.005446,0.005446
25,38167.8,0.04299,0.99795,1,0.00662,0.005248,0.005248,0.005248
26,39695.2,0.04431,0.99807,1,0.0066,0.00505,0.00505,0.00505
27,41237.5,0.04431,0.99818,1,0.00658,0.004852,0.004852,0.004852
28,1539,0.02323,0.99818,1,0.00627,0.004654,0.004654,0.004654
29,3080.66,0.02765,0.99829,1,0.00601,0.004456,0.004456,0.004456
30,4637.24,0.02794,0.99824,1,0.00585,0.004258,0.004258,0.004258
31,6178.13,0.02681,0.99829,1,0.00564,0.00406,0.00406,0.00406
32,7720.03,0.0278,0.99835,1,0.00552,0.003862,0.003862,0.003862
33,9264.06,0.02697,0.99841,1,0.00537,0.003664,0.003664,0.003664
34,10802.1,0.02396,0.99846,1,0.00521,0.003466,0.003466,0.003466
35,12330.2,0.02318,0.99852,1,0.00511,0.003268,0.003268,0.003268
36,13835.8,0.02153,0.99869,1,0.00503,0.00307,0.00307,0.00307
37,15354.1,0.02165,0.99869,1,0.005,0.002872,0.002872,0.002872
38,16860.8,0.01711,0.99875,1,0.00489,0.002674,0.002674,0.002674
39,18362,0.01683,0.99875,1,0.00476,0.002476,0.002476,0.002476
40,19875,0.01642,0.9988,1,0.00466,0.002278,0.002278,0.002278
41,21420.1,0.01489,0.99886,1,0.00458,0.00208,0.00208,0.00208
42,22960.5,0.01479,0.99892,1,0.00453,0.001882,0.001882,0.001882
43,24503.5,0.01263,0.99892,1,0.00452,0.001684,0.001684,0.001684
44,26038.2,0.01081,0.99898,1,0.00443,0.001486,0.001486,0.001486
45,27565.9,0.00918,0.99898,1,0.00429,0.001288,0.001288,0.001288
46,29114,0.00874,0.99898,1,0.00418,0.00109,0.00109,0.00109
47,30667.8,0.00755,0.99898,1,0.00409,0.000892,0.000892,0.000892
48,32217.3,0.00723,0.99898,1,0.004,0.000694,0.000694,0.000694
49,33763,0.00591,0.99903,1,0.00389,0.000496,0.000496,0.000496
50,35300,0.00532,0.99915,1,0.00378,0.000298,0.000298,0.000298
